CourseTitle ,Term ,Faculty ,CourseSection ,Area ,Campus ,Meeting Pattern ,Class ,InstructorOverall ,Learning ,Difficulty ,Global ,Examples ,Workload ,Total Responses ,Number of enrollees
Strategies for Growth ,Spring 2019 ,"Mazzeo, Michael" ,STRT-475-5 (41) ,STRT ,Evanston ,Mon 6:30PM - 9:30PM ,4.9 ,5.0 ,4.8 ,4.7 ,5.2 ,5.4 ,2.4 ,48 ,64
Business Strategy ,Spring 2019 ,"Moreira, Sara" ,STRT-431-0 (71) ,STRT ,Chicago ,Sat 9:00AM - 12:00PM ,4.9 ,4.9 ,5.3 ,5.1 ,5.0 ,5.2 ,3.0 ,33 ,35
Presentation Fundamentals ,Spring 2019 ,"Van Camp, Karen" ,KACI-452-5 (41) ,KACI ,Evanston ,Mon 6:30PM - 9:30PM ,4.9 ,4.9 ,5.0 ,5.1 ,4.8 ,5.2 ,2.5 ,13 ,34
Launching and Leading Startups ,Spring 2019 ,"Daly, William" ,KIEI-967-0 (81) ,KIEI ,Chicago ,Thu 6:00PM - 9:00PM ,4.9 ,4.8 ,5.3 ,5.2 ,4.8 ,5.3 ,3.0 ,36 ,41
Customer Analytics ,Spring 2019 ,"McShane, Blake" ,MKTG-482-0 (81) ,MKTG ,Chicago ,Tue 6:00PM - 9:00PM ,4.9 ,4.7 ,5.6 ,5.6 ,4.2 ,5.0 ,3.8 ,23 ,42
"Wall Street, Hedge Funds and Private Equity" ,Spring 2019 ,"Stowell, David" ,FINC-931-0 (41) ,FINC ,Evanston ,Tue 6:30PM - 9:30PM ,4.9 ,4.6 ,4.8 ,4.4 ,4.5 ,5.4 ,2.6 ,31 ,37
Customer Analytics ,Spring 2019 ,"McShane, Blake" ,MKTG-482-0 (32) ,MKTG ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,4.9 ,4.4 ,5.4 ,5.4 ,4.5 ,5.1 ,3.5 ,51 ,65
Strategy and Organization ,Spring 2019 ,"Rayo Fierro, Luis" ,STRT-452-0 (32) ,STRT ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,4.8 ,5.3 ,5.0 ,4.8 ,4.7 ,5.3 ,2.2 ,44 ,57
People Analytics and Strategy ,Spring 2019 ,"Friedrich, Benjamin" ,STRT-440-0 (81) ,STRT ,Chicago ,Sat 1:30PM - 4:30PM ,4.8 ,5.2 ,4.9 ,5.2 ,4.5 ,5.1 ,3.1 ,36 ,39
Innovation in Financial Services Markets ,Spring 2019 ,"Markovich, Sarit" ,STRT-461-5 (81) ,STRT ,Chicago ,Mon 6:00PM - 9:00PM ,4.8 ,5.2 ,5.0 ,4.7 ,5.5 ,5.3 ,2.5 ,23 ,54
Applied Real Estate Finance and Investments ,Spring 2019 ,"Furfine, Craig" ,FINC-455-0 (41) ,FINC ,Evanston ,Tue 6:30PM - 9:30PM ,4.8 ,5.2 ,5.2 ,5.6 ,4.7 ,5.3 ,3.9 ,10 ,12
Technology Marketing ,Spring 2019 ,"Sawhney, Mohanbir" ,MKTG-468-0 (81) ,MKTG ,Chicago ,Tue 6:00PM - 9:00PM ,4.8 ,5.0 ,5.0 ,4.9 ,5.5 ,5.4 ,3.2 ,37 ,43
Capital Markets ,Spring 2019 ,"Braun, Phillip" ,FINC-950-0 (32) ,FINC ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,4.8 ,5.0 ,5.4 ,5.1 ,4.6 ,5.1 ,2.6 ,38 ,49
Macroeconomic Policy and Global Capital Markets ,Spring 2019 ,"Crouzet, Nicolas" ,FINC-473-0 (31) ,FINC ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,4.8 ,4.9 ,5.3 ,5.3 ,5.8 ,5.7 ,2.9 ,35 ,39
Financial Decisions ,Spring 2019 ,"Chopra, Navin" ,FINC-442-0 (31) ,FINC ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,4.8 ,4.9 ,5.1 ,5.2 ,4.8 ,5.3 ,3.5 ,24 ,37
Entrepreneurial Finance and Venture Capital ,Spring 2019 ,"Baker, Scott" ,FINC-445-0 (51) ,FINC ,Evanston ,Fri 1:30PM - 4:30PM ,4.8 ,4.8 ,5.1 ,5.1 ,4.2 ,5.4 ,3.3 ,50 ,61
Strategic Challenges in Emerging Markets ,Spring 2019 ,"Morjaria, Ameet" ,STRT-466-0 (31) ,STRT ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,4.8 ,4.6 ,5.2 ,4.8 ,5.9 ,5.4 ,2.7 ,54 ,60
Strategic Challenges in Emerging Markets ,Spring 2019 ,"Morjaria, Ameet" ,STRT-466-0 (32) ,STRT ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,4.8 ,4.5 ,5.1 ,4.8 ,5.8 ,5.5 ,2.6 ,26 ,38
Medical Technologies in Developing Countries ,Spring 2019 ,"Dintruff, Robert" ,KPPI-673-5 (41) ,KPPI ,Evanston ,Wed 6:30PM - 9:30PM ,4.8 ,4.3 ,4.8 ,5.0 ,6.0 ,5.0 ,2.8 ,6 ,30
Personal Leadership Insights ,Spring 2019 ,"Langewisch, Robert" ,KACI-461-5 (33) ,KACI ,Evanston ,Tue 8:30AM - 10:00AM ,4.8 ,4.2 ,4.6 ,4.8 ,4.1 ,4.0 ,2.1 ,11 ,12
Data Analytics Decisions ,Spring 2019 ,"Shapiro, Joel" ,KMCI-940-0 (81) ,KMCI ,Chicago ,Thu 6:00PM - 9:00PM ,4.7 ,5.3 ,5.1 ,5.3 ,4.7 ,5.3 ,3.1 ,17 ,17
Regulation of Competitive Strategies ,Spring 2019 ,"McCareins, Mark" ,BLAW-437-0 (51) ,BLAW ,Evanston ,Fri 1:30PM - 4:30PM ,4.7 ,5.3 ,5.0 ,4.6 ,5.3 ,5.5 ,1.9 ,21 ,34
Strategy and Organization ,Spring 2019 ,"Powell, Michael" ,STRT-452-0 (33) ,STRT ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,4.7 ,5.2 ,4.9 ,4.8 ,4.4 ,5.2 ,2.2 ,50 ,65
Business Analytics II ,Spring 2019 ,"Klibanoff, Peter" ,DECS-431-0 (61) ,DECS ,Chicago ,Tue 6:00PM - 9:00PM ,4.7 ,5.1 ,5.4 ,5.2 ,4.7 ,5.1 ,3.0 ,45 ,49
Managerial Leadership ,Spring 2019 ,"Kraemer, Harry" ,KACI-468-0 (81) ,KACI ,Chicago ,Wed 6:00PM - 9:00PM ,4.7 ,5.1 ,5.0 ,4.3 ,4.9 ,5.2 ,2.0 ,97 ,110
Leading the Strategic Change Process ,Spring 2019 ,"Chown, Jillian" ,MORS-452-0 (31) ,MORS ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,4.7 ,5.1 ,5.2 ,4.5 ,5.1 ,5.2 ,2.3 ,54 ,66
Leading the Strategic Change Process ,Spring 2019 ,"Chown, Jillian" ,MORS-452-0 (81) ,MORS ,Chicago ,Thu 6:00PM - 9:00PM ,4.7 ,5.1 ,5.1 ,4.7 ,5.1 ,5.3 ,2.3 ,44 ,49
Biomedical Marketing ,Spring 2019 ,"Calkins, Timothy" ,HCAK-470-0 (31) ,HCAK ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,4.7 ,5.0 ,4.6 ,4.6 ,4.3 ,5.1 ,2.2 ,38 ,65
Leadership and Crisis Management ,Spring 2019 ,"Feddersen, Timothy" ,KPPI-440-5 (81) ,KPPI ,Chicago ,Non-Standard Meetings ,4.7 ,5.0 ,5.2 ,4.8 ,5.0 ,5.5 ,1.8 ,57 ,61
Urban Economic Development and Real Estate Market Analysis ,Spring 2019 ,"Mattoon, Richard" ,REAL-443-5 (41) ,REAL ,Evanston ,Thu 6:30PM - 9:30PM ,4.7 ,4.9 ,4.6 ,4.3 ,5.2 ,5.0 ,2.1 ,43 ,54
Education Consulting Lab ,Spring 2019 ,"McGuire, Therese" ,KPPI-618-0 (41) ,KPPI ,Evanston ,Mon 6:30PM - 9:30PM ,4.7 ,4.8 ,4.4 ,4.6 ,4.7 ,4.1 ,3.4 ,9 ,9
International Finance ,Spring 2019 ,"Andersen, Torben" ,FINC-470-0 (81) ,FINC ,Chicago ,Wed 6:00PM - 9:00PM ,4.7 ,4.8 ,5.0 ,5.3 ,5.5 ,4.7 ,3.3 ,6 ,7
Perspectives on Leadership ,Spring 2019 ,"Hughes, Edward" ,KACI-467-0 (81) ,KACI ,Chicago ,Tue 6:00PM - 9:00PM ,4.7 ,4.7 ,5.0 ,5.1 ,4.2 ,5.3 ,2.8 ,37 ,39
Stochastic Foundations ,Spring 2019 ,"Bassamboo, Achal" ,OPNS-516-0 (21) ,OPNS ,Evanston ,Tue 11:00AM - 1:50PM ,4.6 ,5.6 ,4.9 ,5.6 ,4.3 ,4.6 ,4.1 ,7 ,24
Social Dynamics and Network Analytics ,Spring 2019 ,"Wang, Dashun" ,MORS-457-0 (31) ,MORS ,Evanston ,Tue/Fri 8:30AM - 10:00AM ,4.6 ,5.4 ,4.8 ,4.5 ,5.0 ,5.1 ,2.1 ,31 ,39
Marketing Research and Analytics ,Spring 2019 ,"Bockenholt, Ulf" ,MKTG-450-0 (32) ,MKTG ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,4.6 ,5.0 ,5.6 ,5.2 ,4.3 ,5.1 ,3.0 ,29 ,40
Negotiating in a Virtual World ,Spring 2019 ,"Thompson, Leigh" ,MORS-471-5 (41) ,MORS ,Evanston ,TBA  ,4.6 ,4.9 ,5.4 ,5.0 ,4.2 ,4.6 ,2.6 ,22 ,49
Growth Strategy Practicum ,Spring 2019 ,"O'Connor, Karin" ,KIEI-915-0 (41) ,KIEI ,Evanston ,Tue 1:30PM - 4:30PM ,4.6 ,4.9 ,4.5 ,4.5 ,3.8 ,4.8 ,3.4 ,29 ,32
Corporate Innovation and New Ventures ,Spring 2019 ,"Earle, Jr., Paul" ,KIEI-903-0 (91) ,KIEI ,Chicago ,Mon 6:00PM - 9:00PM ,4.6 ,4.7 ,4.7 ,4.8 ,4.3 ,4.9 ,3.3 ,24 ,26
Economics of Competition ,Spring 2019 ,"Klibanoff, Peter" ,MECNX-441-0 (117) ,MECNX ,Off Campus ,TBA  ,4.6 ,4.7 ,4.9 ,4.9 ,5.1 ,5.0 ,2.6 ,30 ,64
Marketing Management ,Spring 2019 ,"Labroo, Aparna" ,MKTG-430-0 (61) ,MKTG ,Chicago ,Thu 6:00PM - 9:00PM ,4.6 ,4.7 ,5.0 ,4.7 ,5.4 ,5.5 ,2.8 ,31 ,52
Social Dynamics and Network Analytics ,Spring 2019 ,"Wang, Dashun" ,MORS-457-0 (32) ,MORS ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,4.5 ,5.2 ,4.9 ,4.4 ,4.9 ,4.9 ,2.1 ,39 ,51
Sustainability Reporting and Analysis ,Spring 2019 ,"Finn, Mark" ,ACCT-459-5 (41) ,ACCT ,Evanston ,Wed 6:30PM - 9:30PM ,4.5 ,5.1 ,4.8 ,4.5 ,5.5 ,5.2 ,2.2 ,13 ,14
Product Management for Technology Companies: An Entrepreneurial Perspective ,Spring 2019 ,"Sawhney, Mohanbir" ,KIEI-458-0 (41) ,KIEI ,Evanston ,Tue/Fri 8:30AM - 10:00AM ,4.5 ,4.8 ,4.9 ,4.7 ,5.4 ,5.4 ,2.9 ,29 ,33
Human and Machine Intelligence ,Spring 2019 ,"Pah, Adam" ,KIEI-950-5 (81) ,KIEI ,Chicago ,Thu 6:00PM - 9:00PM ,4.5 ,4.7 ,4.7 ,4.4 ,4.4 ,4.8 ,2.4 ,12 ,35
New Venture Discovery ,Spring 2019 ,"Vehovsky, Gabe" ,KIEI-462-0 (42) ,KIEI ,Evanston ,Tue 6:30PM - 9:30PM ,4.5 ,4.7 ,5.0 ,4.6 ,4.2 ,5.1 ,3.2 ,15 ,19
Leading Voices ,Spring 2019 ,"Besanko, David" ,KPPI-920-5 (41) ,KPPI ,Evanston ,Non-Standard Meetings ,4.5 ,4.7 ,4.4 ,4.5 ,5.0 ,4.8 ,1.7 ,23 ,32
Entrepreneurial Finance and Venture Capital ,Spring 2019 ,"Baker, Scott" ,FINC-445-0 (41) ,FINC ,Evanston ,Thu 6:30PM - 9:30PM ,4.5 ,4.7 ,5.2 ,4.9 ,4.4 ,5.2 ,3.1 ,37 ,49
Innovation in Financial Services Markets ,Spring 2019 ,"Markovich, Sarit" ,STRT-461-5 (31) ,STRT ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,4.5 ,4.5 ,4.4 ,4.4 ,5.4 ,5.1 ,2.6 ,43 ,65
Financial Decisions ,Spring 2019 ,"Chopra, Navin" ,FINC-442-0 (32) ,FINC ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,4.5 ,4.4 ,5.0 ,5.2 ,4.7 ,5.4 ,3.5 ,38 ,50
Corporate Innovation and New Ventures ,Spring 2019 ,"DeBiase, Dean" ,KIEI-903-0 (91) ,KIEI ,Chicago ,Mon 6:00PM - 9:00PM ,4.5 ,4.3 ,4.6 ,4.8 ,4.3 ,4.8 ,3.3 ,24 ,26
Early Stage Impact Investing ,Spring 2019 ,"Seitz, Tasha" ,KPPI-940-0 (41) ,KPPI ,Evanston ,Tue 6:30PM - 9:30PM ,4.4 ,4.9 ,4.7 ,4.6 ,4.7 ,5.3 ,2.5 ,32 ,38
Business Analytics II ,Spring 2019 ,"Shmaya, Eran" ,DECS-431-0 (81) ,DECS ,Chicago ,Non-Standard Meetings ,4.4 ,4.9 ,5.0 ,4.9 ,4.8 ,4.9 ,3.1 ,17 ,22
Value Investing ,Spring 2019 ,"Jagannathan, Ravi" ,FINC-444-0 (41) ,FINC ,Evanston ,Tue 6:30PM - 9:30PM ,4.4 ,4.8 ,5.0 ,5.1 ,5.2 ,5.3 ,3.6 ,10 ,15
"Investment Banks, Hedge Funds & Private Equity" ,Spring 2019 ,"Stowell, David" ,FINCX-931-0 (MW1) ,FINCX ,Off Campus ,TBA  ,4.4 ,4.8 ,4.6 ,4.5 ,4.7 ,5.3 ,2.9 ,21 ,38
Leadership in Today’s U.S. Health Systems ,Spring 2019 ,"Butler, Peter" ,HCAK-924-5 (41) ,HCAK ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,4.4 ,4.8 ,4.6 ,4.4 ,4.3 ,5.5 ,2.2 ,22 ,31
Entrepreneurial Tools for Digital Marketing ,Spring 2019 ,"Johnson, Sean" ,MKTG-961-5 (81) ,MKTG ,Chicago ,Thu 6:00PM - 9:00PM ,4.4 ,4.7 ,5.0 ,4.2 ,4.1 ,5.0 ,2.3 ,32 ,48
Financial Decisions ,Spring 2019 ,"Chopra, Navin" ,FINC-442-0 (33) ,FINC ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,4.4 ,4.7 ,4.7 ,4.6 ,4.5 ,5.2 ,3.5 ,36 ,50
Strategies for Growth ,Spring 2019 ,"Mazzeo, Michael" ,STRTX-955-0 (MW2) ,STRTX ,Off Campus ,TBA  ,4.4 ,4.7 ,4.5 ,4.4 ,4.8 ,4.9 ,3.4 ,44 ,54
Human and Machine Intelligence ,Spring 2019 ,"Pah, Adam" ,KIEI-950-5 (32) ,KIEI ,Evanston ,Tue/Fri 3:30PM - 5:00PM ,4.4 ,4.5 ,4.6 ,4.2 ,4.4 ,4.8 ,2.3 ,15 ,36
Leading Voices ,Spring 2019 ,"Eberly, Janice" ,KPPI-920-5 (41) ,KPPI ,Evanston ,Non-Standard Meetings ,4.4 ,4.5 ,4.4 ,4.5 ,5.0 ,4.7 ,1.8 ,23 ,32
Strategic Thinking ,Spring 2019 ,"Mazzeo, Michael" ,STRTM-910-5 (1) ,STRTM ,Chicago ,Wed 1:30PM - 4:30PM ,4.4 ,4.4 ,4.7 ,5.0 ,4.5 ,5.1 ,2.9 ,15 ,19
Business Strategy ,Spring 2019 ,"Moreira, Sara" ,STRT-431-0 (61) ,STRT ,Chicago ,Wed 6:00PM - 9:00PM ,4.4 ,4.2 ,4.9 ,4.8 ,5.0 ,5.4 ,3.0 ,39 ,51
Finance II ,Spring 2019 ,"Ravina, Enrichetta" ,FINC-431-0 (34) ,FINC ,Evanston ,Tue/Fri 1:30PM - 3:00PM ,4.3 ,5.0 ,4.9 ,5.0 ,4.4 ,5.1 ,3.4 ,38 ,46
Business Analytics I ,Spring 2019 ,"Tahbaz-Salehi, Alireza" ,DECS-430-5 (81) ,DECS ,Chicago ,Non-Standard Meetings ,4.3 ,5.0 ,4.9 ,4.9 ,4.6 ,4.6 ,2.8 ,30 ,35
Growth Strategy Practicum ,Spring 2019 ,"O'Connor, Karin" ,STRTX-940-0 (112) ,STRTX ,Evanston ,TBA  ,4.3 ,4.7 ,4.5 ,4.7 ,4.2 ,4.7 ,3.4 ,49 ,72
Macroeconomics ,Spring 2019 ,"Eberly, Janice" ,FINCX-473-0 (115) ,FINCX ,Off Campus ,TBA  ,4.3 ,4.6 ,4.5 ,4.6 ,4.9 ,4.8 ,3.1 ,12 ,50
Marketing Research and Analytics ,Spring 2019 ,"Bockenholt, Ulf" ,MKTG-450-0 (31) ,MKTG ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,4.3 ,4.6 ,5.2 ,4.8 ,4.3 ,5.0 ,2.9 ,32 ,44
Ethics & Executive Leadership ,Spring 2019 ,"Austen-Smith, David" ,KPPIX-472-0 (113) ,KPPIX ,Off Campus ,TBA  ,4.3 ,4.6 ,4.7 ,4.6 ,5.0 ,4.9 ,3.1 ,18 ,35
Technology in the Age of Analytics ,Spring 2019 ,"Katakam, Raghu" ,KMCI-930-5 (41) ,KMCI ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,4.3 ,4.5 ,4.9 ,4.6 ,4.7 ,5.1 ,2.4 ,19 ,34
Human and Machine Intelligence ,Spring 2019 ,"Pah, Adam" ,KIEI-950-5 (31) ,KIEI ,Evanston ,Tue/Fri 3:30PM - 5:00PM ,4.2 ,4.8 ,4.8 ,4.5 ,4.1 ,5.3 ,2.1 ,21 ,28
Strategy and Execution for a Successful Healthcare Delivery System ,Spring 2019 ,"Weinstein, James" ,HCAK-935-5 (41) ,HCAK ,Evanston ,Mon 6:30PM - 9:30PM ,4.2 ,4.8 ,4.9 ,4.5 ,4.4 ,4.8 ,2.5 ,17 ,28
Operations Management ,Spring 2019 ,"Ibanez, Maria" ,OPNS-430-0 (34) ,OPNS ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,4.2 ,4.8 ,4.9 ,4.4 ,4.6 ,4.9 ,2.5 ,54 ,65
Leading the Strategic Change Process ,Spring 2019 ,"Chown, Jillian" ,MORS-452-0 (32) ,MORS ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,4.2 ,4.7 ,4.9 ,4.3 ,4.8 ,5.2 ,2.2 ,54 ,63
Personal Leadership Insights ,Spring 2019 ,"Ellington Booth, Brenda" ,KACI-461-5 (31) ,KACI ,Evanston ,Mon 1:30PM - 3:00PM ,4.2 ,4.6 ,5.0 ,4.0 ,4.6 ,4.9 ,2.2 ,9 ,11
Presentation Fundamentals ,Spring 2019 ,"Van Camp, Karen" ,KACI-452-5 (42) ,KACI ,Evanston ,Mon 6:30PM - 9:30PM ,4.2 ,4.5 ,4.3 ,4.0 ,3.8 ,3.9 ,2.2 ,22 ,24
Finance I ,Spring 2019 ,"Jiang, Zhengyang" ,FINC-430-0 (61) ,FINC ,Chicago ,Tue 6:00PM - 9:00PM ,4.2 ,4.1 ,4.8 ,5.1 ,4.8 ,4.9 ,3.3 ,33 ,34
Services Marketing and Management ,Spring 2019 ,"Jami, Ata" ,MKTG-459-5 (31) ,MKTG ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,4.2 ,3.7 ,4.4 ,3.9 ,4.9 ,4.7 ,2.4 ,26 ,38
Private Equity Lab ,Spring 2019 ,"Stowell, David" ,FINC-639-0 (41) ,FINC ,Evanston ,Non-Standard Meetings ,4.1 ,4.6 ,5.0 ,4.6 ,3.7 ,4.3 ,5.3 ,8 ,20
Game Theory and Strategic Decisions ,Spring 2019 ,"Shmaya, Eran" ,MECN-452-0 (81) ,MECN ,Chicago ,Mon 6:00PM - 9:00PM ,4.1 ,4.4 ,4.5 ,3.9 ,4.2 ,4.4 ,1.9 ,23 ,32
Finance II ,Spring 2019 ,"Ravina, Enrichetta" ,FINC-431-0 (81) ,FINC ,Chicago ,Tue 6:00PM - 9:00PM ,4.1 ,4.3 ,4.7 ,5.1 ,4.6 ,4.9 ,3.4 ,34 ,39
Advertising Strategy ,Spring 2019 ,"Pearlman, Mary" ,MKTG-454-0 (41) ,MKTG ,Evanston ,Thu 6:30PM - 9:30PM ,4.1 ,4.1 ,4.5 ,4.1 ,4.6 ,4.7 ,2.1 ,34 ,44
Behavioral Marketing Science ,Spring 2019 ,"Lee, Angela" ,MKTG-959-0 (41) ,MKTG ,Evanston ,Tue 1:30PM - 4:30PM ,4.0 ,4.4 ,4.5 ,4.4 ,4.5 ,4.7 ,2.5 ,26 ,31
Healthcare Strategy Lab ,Spring 2019 ,"Campbell, Paul" ,STRT-947-0 (41) ,STRT ,Evanston ,Tue 6:30PM - 9:30PM ,4.0 ,4.2 ,4.4 ,4.4 ,4.8 ,4.7 ,3.2 ,13 ,22
Analytical Consulting Lab ,Spring 2019 ,"Walker, Russell" ,MECN-615-0 (41) ,MECN ,Evanston ,Non-Standard Meetings ,4.0 ,3.9 ,4.2 ,4.7 ,4.9 ,4.3 ,3.4 ,12 ,20
"Consumers, Culture, and Leadership" ,Spring 2019 ,"Carpenter, Gregory" ,MKTG-918-0 (41) ,MKTG ,Evanston ,Mon 6:30PM - 9:30PM ,3.9 ,4.5 ,3.9 ,4.0 ,4.9 ,5.1 ,2.0 ,30 ,54
Operations Management ,Spring 2019 ,"Ibanez, Maria" ,OPNS-430-0 (33) ,OPNS ,Evanston ,Tue/Fri 8:30AM - 10:00AM ,3.9 ,4.5 ,4.7 ,4.5 ,4.2 ,4.7 ,2.4 ,45 ,65
Product Management for Technology Companies: An Entrepreneurial Perspective ,Spring 2019 ,"Sawhney, Mohanbir" ,KIEI-458-0 (31) ,KIEI ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,3.9 ,4.2 ,4.5 ,4.1 ,5.3 ,5.1 ,2.7 ,42 ,59
Growth Strategy Practicum ,Spring 2019 ,"Darragh, Linda" ,STRTX-940-0 (113) ,STRTX ,Off Campus ,TBA  ,3.9 ,3.9 ,4.1 ,4.1 ,4.3 ,4.4 ,3.6 ,17 ,52
Real Estate Technology ,Spring 2019 ,"Oei, Mark" ,REAL-930-5 (41) ,REAL ,Evanston ,Wed 6:30PM - 9:30PM ,3.9 ,3.9 ,3.9 ,3.9 ,4.3 ,4.7 ,2.2 ,21 ,42
Asset Management Practicum IV ,Spring 2019 ,"Jagannathan, Ravi" ,FINC-459-0 (41) ,FINC ,Evanston ,Wed 6:30PM - 9:30PM ,3.9 ,3.6 ,4.1 ,4.2 ,3.7 ,3.8 ,2.8 ,10 ,13
"Blockchain Technology, Digital Assets, and the Future of Finance" ,Spring 2019 ,"Wieandt, Axel" ,FINC-965-5 (41) ,FINC ,Evanston ,Thu 6:30PM - 9:30PM ,3.8 ,3.6 ,4.2 ,4.3 ,4.8 ,4.7 ,2.6 ,22 ,36
Strategic Brand Management ,Spring 2019 ,"Chernev, Alexander" ,MKTG-473-0 (41) ,MKTG ,Evanston ,Tue 1:30PM - 4:30PM ,3.8 ,3.6 ,4.3 ,3.8 ,5.5 ,5.2 ,2.2 ,31 ,57
Strategy and Organization ,Spring 2019 ,"Reich, Bryony" ,STRT-452-0 (81) ,STRT ,Chicago ,Mon 6:00PM - 9:00PM ,3.8 ,3.4 ,4.2 ,4.0 ,4.1 ,4.7 ,2.2 ,30 ,34
Real Estate Technology ,Spring 2019 ,"Akason, Denise" ,REAL-930-5 (41) ,REAL ,Evanston ,Wed 6:30PM - 9:30PM ,3.7 ,3.7 ,3.9 ,3.8 ,4.0 ,4.5 ,2.2 ,21 ,42
People Analytics and Strategy ,Spring 2019 ,"Friedrich, Benjamin" ,STRT-440-0 (31) ,STRT ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,3.6 ,4.2 ,4.3 ,4.2 ,3.9 ,4.7 ,2.4 ,39 ,51
Social Impact Analytics ,Spring 2019 ,"Dillon, Andrew" ,KPPI-948-0 (41) ,KPPI ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,3.6 ,4.1 ,4.4 ,4.3 ,5.4 ,4.9 ,2.6 ,28 ,30
Strategy Beyond Markets ,Spring 2019 ,"Teso, Edoardo" ,KPPI-441-0 (31) ,KPPI ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,3.6 ,4.0 ,4.3 ,3.8 ,4.9 ,4.8 ,2.0 ,40 ,49
Pricing Strategies ,Spring 2019 ,"Chaves, Isaias" ,MECN-446-0 (31) ,MECN ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,3.6 ,3.8 ,4.2 ,4.4 ,4.0 ,4.5 ,2.8 ,55 ,60
Business-to-Business (B2B) Marketing ,Spring 2019 ,"Berggren, Eric" ,MKTG-453-0 (41) ,MKTG ,Evanston ,Tue 1:30PM - 4:30PM ,3.6 ,3.4 ,4.2 ,3.7 ,3.9 ,4.7 ,2.3 ,47 ,49
"Consumers, Culture, and Leadership" ,Spring 2019 ,"Carpenter, Gregory" ,MKTG-918-0 (31) ,MKTG ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,3.5 ,3.9 ,3.9 ,3.7 ,4.7 ,5.1 ,1.6 ,20 ,47
Pricing Strategies ,Spring 2019 ,"Chaves, Isaias" ,MECN-446-0 (81) ,MECN ,Chicago ,Wed 6:00PM - 9:00PM ,3.4 ,3.4 ,4.1 ,4.6 ,3.8 ,4.3 ,3.2 ,18 ,20
Ethics & Executive Leadership ,Spring 2019 ,"Feddersen, Timothy" ,KPPIX-472-0 (112) ,KPPIX ,Evanston ,TBA  ,3.3 ,3.1 ,4.1 ,4.0 ,4.2 ,4.2 ,2.5 ,15 ,37
Omnichannel Experience Strategy ,Spring 2019 ,"Wilson, Rick" ,MKTG-451-0 (31) ,MKTG ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,3.2 ,3.5 ,3.8 ,3.4 ,3.7 ,4.9 ,2.1 ,41 ,59
Marketing Management ,Spring 2019 ,"Tybout, Alice" ,MKTGX-430-0 (119) ,MKTGX ,Off Campus ,TBA  ,3.2 ,3.4 ,4.0 ,4.0 ,4.6 ,4.0 ,3.6 ,45 ,57
Operations Management ,Spring 2019 ,"Lariviere, Martin" ,OPNSX-430-0 (117) ,OPNSX ,Off Campus ,TBA  ,3.2 ,3.2 ,3.9 ,4.4 ,3.2 ,3.7 ,2.8 ,10 ,64
Operations Management ,Spring 2019 ,"Abdallah, Tarek" ,OPNS-430-0 (35) ,OPNS ,Evanston ,Tue/Fri 1:30PM - 3:00PM ,3.2 ,3.0 ,4.0 ,3.6 ,4.3 ,4.4 ,2.5 ,27 ,36
Operations Management ,Spring 2019 ,"Abdallah, Tarek" ,OPNS-430-0 (36) ,OPNS ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,3.1 ,3.0 ,4.0 ,3.8 ,3.9 ,4.5 ,2.5 ,51 ,65
Managing Organizations for Growth ,Spring 2019 ,"Ocasio, William" ,MORS-946-5 (41) ,MORS ,Evanston ,Wed 6:30PM - 9:30PM ,3.0 ,3.4 ,3.9 ,3.9 ,3.6 ,4.5 ,2.8 ,32 ,44
Advertising Strategy ,Winter 2019 ,"Rucker, Derek" ,MKTGX-454-0 (MA2) ,MKTGX ,Off Campus ,TBA  ,6.0 ,6.0 ,5.9 ,5.8 ,5.7 ,6.0 ,3.8 ,10 ,26
