CourseTitle ,Term ,Faculty ,CourseSection ,Area ,Campus ,Meeting Pattern ,Class ,InstructorOverall ,Learning ,Difficulty ,Global ,Examples ,Workload ,Total Responses ,Number of enrollees
Entrepreneurial Finance and Venture Capital ,Spring 2019 ,"Baker, Scott" ,FINC-445-0 (81) ,FINC ,Chicago ,Sat 1:30PM - 4:30PM ,5.0 ,5.4 ,5.2 ,5.2 ,4.8 ,5.7 ,3.5 ,17 ,20
Accounting for Management Planning and Control ,Spring 2019 ,"Dye, Ronald" ,ACCTX-431-0 (117) ,ACCTX ,Off Campus ,TBA  ,5.0 ,5.3 ,5.2 ,5.1 ,5.2 ,5.2 ,3.2 ,33 ,64
Board Governance of Non-Profit Organizations ,Spring 2019 ,"Howard, Liz" ,KPPI-455-5 (91) ,KPPI ,Chicago ,Mon 6:00PM - 9:00PM ,5.0 ,5.3 ,5.4 ,4.8 ,4.8 ,5.4 ,2.2 ,33 ,37
Capital Markets ,Spring 2019 ,"Braun, Phillip" ,FINC-950-0 (31) ,FINC ,Evanston ,Tue/Fri 8:30AM - 10:00AM ,5.0 ,5.3 ,5.5 ,5.2 ,4.7 ,4.9 ,2.6 ,40 ,48
Game Theory and Strategic Decisions ,Spring 2019 ,"Dale, Donald" ,MECN-452-0 (31) ,MECN ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,5.0 ,5.3 ,5.2 ,5.2 ,4.5 ,4.5 ,2.3 ,57 ,65
Marketing Strategy for Growth and Defense ,Spring 2019 ,"Krishnamurthi, Lakshman" ,MKTG-466-0 (81) ,MKTG ,Chicago ,Tue 6:00PM - 9:00PM ,5.0 ,5.2 ,5.1 ,5.1 ,5.2 ,5.5 ,3.1 ,22 ,27
Macroeconomics ,Spring 2019 ,"Eichenbaum, Martin" ,FINCX-473-0 (114) ,FINCX ,Evanston ,TBA  ,5.0 ,5.2 ,5.5 ,5.6 ,5.6 ,5.4 ,3.4 ,13 ,43
Managerial Finance I ,Spring 2019 ,"Sammon, Marco" ,FINCX-430-0 (119) ,FINCX ,Off Campus ,TBA  ,5.0 ,5.1 ,5.1 ,5.3 ,4.8 ,4.9 ,2.8 ,39 ,59
Managerial Finance II ,Spring 2019 ,"Raviv, Artur" ,FINCX-441-0 (116) ,FINCX ,Evanston ,TBA  ,5.0 ,5.1 ,5.4 ,5.6 ,5.1 ,5.1 ,3.5 ,39 ,76
Managerial Accounting ,Spring 2019 ,"Lyle, Matthew" ,ACCT-431-0 (32) ,ACCT ,Evanston ,Tue/Fri 8:30AM - 10:00AM ,5.0 ,5.0 ,5.1 ,4.9 ,4.5 ,4.8 ,2.3 ,24 ,32
Launching and Leading Startups ,Spring 2019 ,"Morehead, Brad" ,KIEI-967-0 (81) ,KIEI ,Chicago ,Thu 6:00PM - 9:00PM ,5.0 ,4.9 ,5.4 ,5.1 ,4.8 ,5.4 ,3.0 ,36 ,41
Medical Technologies in Developing Countries ,Spring 2019 ,"Palamountain, Kara" ,KPPI-673-5 (41) ,KPPI ,Evanston ,Wed 6:30PM - 9:30PM ,5.0 ,4.5 ,4.8 ,5.2 ,6.0 ,5.2 ,2.8 ,6 ,30
Decision-Making for Sustainable Business ,Spring 2019 ,"Preston, Malcolm" ,KPPI-947-5 (41) ,KPPI ,Evanston ,Wed 6:30PM - 9:30PM ,4.9 ,5.3 ,5.4 ,4.8 ,5.8 ,5.4 ,2.5 ,33 ,45
Supply Chain Management ,Spring 2019 ,"Bassamboo, Achal" ,OPNS-455-0 (31) ,OPNS ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,4.9 ,5.2 ,5.3 ,5.2 ,5.5 ,5.4 ,2.8 ,61 ,69
Leadership and Crisis Management ,Spring 2019 ,"Spenkuch, Jorg" ,KPPI-440-5 (61) ,KPPI ,Chicago ,Non-Standard Meetings ,4.9 ,5.2 ,5.6 ,4.9 ,5.7 ,5.7 ,2.1 ,23 ,24
Corporate Social Innovation ,Spring 2019 ,"Towns, William" ,KPPI-917-5 (41) ,KPPI ,Evanston ,Wed 6:30PM - 9:30PM ,4.9 ,5.1 ,4.9 ,5.1 ,4.6 ,5.3 ,2.1 ,14 ,17
Managerial Finance I ,Spring 2019 ,"Fishman, Michael" ,FINCX-430-0 (118) ,FINCX ,Evanston ,TBA  ,4.9 ,5.1 ,5.3 ,5.3 ,5.0 ,5.3 ,3.1 ,66 ,72
Derivatives Markets ,Spring 2019 ,"Skiadas, Constantinos" ,FINC-465-0 (31) ,FINC ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,4.9 ,5.1 ,5.1 ,5.5 ,4.6 ,4.9 ,2.5 ,15 ,19
The Rookie General Manager ,Spring 2019 ,"White, William" ,OPNS-925-5 (31) ,OPNS ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,4.9 ,5.1 ,5.2 ,5.1 ,4.6 ,4.7 ,3.3 ,61 ,69
