CourseTitle ,Term ,Faculty ,CourseSection ,Phase ,Area ,Campus ,Meeting Pattern ,Bids ,Closing Cost ,Seats Available ,Total seats ,Enrolled ,Program ,WaitList ,OpenSeats
New Venture Discovery ,Summer 2019 ,"Eschbach, Jeffrey" ,KIEI-462-0 (81) ,Summer 2019 Bidding Phase II ,KIEI ,Chicago ,Tue 6:00PM - 9:00PM ,3 ,0 ,5 ,27 ,3 ,Evening ,0 ,2
New Venture Discovery ,Summer 2019 ,"Eschbach, Jeffrey" ,KIEI-462-0 (81) ,Summer 2019 Bidding Phase II ,KIEI ,Chicago ,Tue 6:00PM - 9:00PM ,0 ,0 ,0 ,5 ,0 ,Weekend ,0 ,0
Microeconomic Analysis ,Summer 2019 ,"Saraniti, Brett" ,MECN-430-0 (61) ,Summer 2019 Bidding Phase I ,MECN ,Chicago ,Tue 6:00PM - 9:00PM ,32 ,0 ,65 ,65 ,32 ,Evening ,0 ,33
Microeconomic Analysis ,Summer 2019 ,"Saraniti, Brett" ,MECN-430-0 (61) ,Summer 2019 Bidding Phase II ,MECN ,Chicago ,Tue 6:00PM - 9:00PM ,10 ,0 ,38 ,65 ,10 ,Evening ,0 ,28
Negotiations Fundamentals ,Summer 2019 ,"Jordan, Jillian" ,MORS-472-5 (82) ,Summer 2019 Bidding Phase I ,MORS ,Chicago ,Tue 6:00PM - 9:00PM ,2 ,0 ,5 ,5 ,2 ,Weekend ,0 ,3
Negotiations Fundamentals ,Summer 2019 ,"Jordan, Jillian" ,MORS-472-5 (82) ,Summer 2019 Bidding Phase II ,MORS ,Chicago ,Tue 6:00PM - 9:00PM ,0 ,0 ,3 ,5 ,0 ,Weekend ,0 ,3
Negotiations Fundamentals ,Summer 2019 ,"Jordan, Jillian" ,MORS-472-5 (82) ,Summer 2019 Bidding Phase I ,MORS ,Chicago ,Tue 6:00PM - 9:00PM ,18 ,0 ,31 ,31 ,18 ,Evening ,0 ,13
Negotiations Fundamentals ,Summer 2019 ,"Jordan, Jillian" ,MORS-472-5 (82) ,Summer 2019 Bidding Phase II ,MORS ,Chicago ,Tue 6:00PM - 9:00PM ,7 ,0 ,13 ,31 ,7 ,Evening ,0 ,6
Business Strategy ,Summer 2019 ,"Markovich, Sarit" ,STRT-431-0 (61) ,Summer 2019 Bidding Phase I ,STRT ,Chicago ,Tue 6:00PM - 9:00PM ,41 ,0 ,61 ,65 ,41 ,Evening ,0 ,20
Business Strategy ,Summer 2019 ,"Markovich, Sarit" ,STRT-431-0 (61) ,Summer 2019 Bidding Phase II ,STRT ,Chicago ,Tue 6:00PM - 9:00PM ,4 ,0 ,20 ,65 ,4 ,Evening ,0 ,16
Strategy and Organization ,Summer 2019 ,"Reich, Bryony" ,STRT-452-0 (81) ,Summer 2019 Bidding Phase I ,STRT ,Chicago ,Tue 6:00PM - 9:00PM ,35 ,0 ,55 ,55 ,35 ,Evening ,0 ,20
Strategy and Organization ,Summer 2019 ,"Reich, Bryony" ,STRT-452-0 (81) ,Summer 2019 Bidding Phase II ,STRT ,Chicago ,Tue 6:00PM - 9:00PM ,9 ,0 ,25 ,55 ,9 ,Evening ,0 ,16
Strategy and Organization ,Summer 2019 ,"Reich, Bryony" ,STRT-452-0 (81) ,Summer 2019 Bidding Phase I ,STRT ,Chicago ,Tue 6:00PM - 9:00PM ,8 ,0 ,10 ,10 ,8 ,Weekend ,0 ,2
Leading the Strategic Change Process ,Summer 2019 ,"Hirsch, Paul" ,MORS-452-0 (81) ,Summer 2019 Bidding Phase I ,MORS ,Chicago ,Thu 6:00PM - 9:00PM ,4 ,0 ,5 ,5 ,4 ,Weekend ,0 ,1
Leading the Strategic Change Process ,Summer 2019 ,"Hirsch, Paul" ,MORS-452-0 (81) ,Summer 2019 Bidding Phase II ,MORS ,Chicago ,Thu 6:00PM - 9:00PM ,0 ,0 ,3 ,5 ,0 ,Weekend ,0 ,3
